date,home_team,away_team,team,scorer,minute,own_goal,penalty
7/2/1916,Chile,Uruguay,Uruguay,Jose Piendibene,44,FALSE,FALSE
7/2/1916,Chile,Uruguay,Uruguay,Isabelino Gradin,55,FALSE,FALSE
7/2/1916,Chile,Uruguay,Uruguay,Isabelino Gradin,70,FALSE,FALSE
7/2/1916,Chile,Uruguay,Uruguay,Jose Piendibene,75,FALSE,FALSE
7/6/1916,Argentina,Chile,Argentina,Alberto Ohaco,2,FALSE,FALSE
7/6/1916,Argentina,Chile,Chile,Telesforo Baez,44,FALSE,FALSE
7/6/1916,Argentina,Chile,Argentina,Juan Domingo Brown,60,FALSE,TRUE
7/6/1916,Argentina,Chile,Argentina,Juan Domingo Brown,62,FALSE,TRUE
7/6/1916,Argentina,Chile,Argentina,Alberto Marcovecchio,67,FALSE,FALSE
7/6/1916,Argentina,Chile,Argentina,Alberto Ohaco,75,FALSE,FALSE
7/6/1916,Argentina,Chile,Argentina,Alberto Marcovecchio,81,FALSE,FALSE
7/8/1916,Brazil,Chile,Brazil,Demostenes Correia de Syllos,29,FALSE,FALSE
7/8/1916,Brazil,Chile,Chile,Hernando Salazar,85,FALSE,FALSE
7/10/1916,Argentina,Brazil,Argentina,Jose Durand Laguna,10,FALSE,FALSE
7/10/1916,Argentina,Brazil,Brazil,Manoel Alencar Monte,23,FALSE,FALSE
7/12/1916,Brazil,Uruguay,Brazil,Arthur Friedenreich,8,FALSE,FALSE
7/12/1916,Brazil,Uruguay,Uruguay,Isabelino Gradin,58,FALSE,FALSE
7/12/1916,Brazil,Uruguay,Uruguay,Jose Tognola,77,FALSE,FALSE
9/30/1917,Uruguay,Chile,Uruguay,Carlos Scarone,20,FALSE,FALSE
9/30/1917,Uruguay,Chile,Uruguay,Angel Romano,44,FALSE,FALSE
9/30/1917,Uruguay,Chile,Uruguay,Carlos Scarone,62,FALSE,TRUE
9/30/1917,Uruguay,Chile,Uruguay,Angel Romano,75,FALSE,FALSE
10/3/1917,Argentina,Brazil,Brazil,Neco,8,FALSE,FALSE
10/3/1917,Argentina,Brazil,Argentina,Pedro Calomino,15,FALSE,FALSE
10/3/1917,Argentina,Brazil,Brazil,Silvio Lagreca,39,FALSE,TRUE
10/3/1917,Argentina,Brazil,Argentina,Alberto Ohaco,56,FALSE,TRUE
10/3/1917,Argentina,Brazil,Argentina,Alberto Ohaco,58,FALSE,TRUE
10/3/1917,Argentina,Brazil,Argentina,Antonio Blanco,80,FALSE,FALSE
10/6/1917,Argentina,Chile,Argentina,Luis Garcia,76,TRUE,FALSE
10/7/1917,Uruguay,Brazil,Uruguay,Hector Scarone,8,FALSE,FALSE
10/7/1917,Uruguay,Brazil,Uruguay,Angel Romano,17,FALSE,FALSE
10/7/1917,Uruguay,Brazil,Uruguay,Angel Romano,77,FALSE,FALSE
10/7/1917,Uruguay,Brazil,Uruguay,Carlos Scarone,86,FALSE,FALSE
10/12/1917,Brazil,Chile,Brazil,Caetano Izzo,21,FALSE,FALSE
10/12/1917,Brazil,Chile,Brazil,Neco,23,FALSE,FALSE
10/12/1917,Brazil,Chile,Brazil,Haroldo Domingues,26,FALSE,FALSE
10/12/1917,Brazil,Chile,Brazil,Amilcar Barbuy,41,FALSE,FALSE
10/12/1917,Brazil,Chile,Brazil,Haroldo Domingues,59,FALSE,FALSE
10/14/1917,Uruguay,Argentina,Uruguay,Hector Scarone,62,FALSE,FALSE
5/11/1919,Brazil,Chile,Brazil,Arthur Friedenreich,19,FALSE,FALSE
5/11/1919,Brazil,Chile,Brazil,Neco,21,FALSE,FALSE
5/11/1919,Brazil,Chile,Brazil,Arthur Friedenreich,38,FALSE,FALSE
5/11/1919,Brazil,Chile,Brazil,Arthur Friedenreich,76,FALSE,FALSE
5/11/1919,Brazil,Chile,Brazil,Haroldo Domingues,79,FALSE,FALSE
5/11/1919,Brazil,Chile,Brazil,Neco,83,FALSE,FALSE
5/13/1919,Argentina,Uruguay,Uruguay,Carlos Scarone,19,FALSE,FALSE
5/13/1919,Argentina,Uruguay,Uruguay,Hector Scarone,23,FALSE,FALSE
5/13/1919,Argentina,Uruguay,Argentina,Carlos Izaguirre,34,FALSE,FALSE
5/13/1919,Argentina,Uruguay,Argentina,Manuel Varela,79,TRUE,FALSE
5/13/1919,Argentina,Uruguay,Uruguay,Isabelino Gradin,85,FALSE,FALSE
5/17/1919,Chile,Uruguay,Uruguay,Carlos Scarone,31,FALSE,FALSE
5/17/1919,Chile,Uruguay,Uruguay,Jose Perez,43,FALSE,FALSE
5/18/1919,Brazil,Argentina,Brazil,Heitor,22,FALSE,FALSE
5/18/1919,Brazil,Argentina,Brazil,Amilcar Barbuy,57,FALSE,FALSE
5/18/1919,Brazil,Argentina,Argentina,Carlos Izaguirre,65,FALSE,FALSE
5/18/1919,Brazil,Argentina,Brazil,Adolpho Millon Junior,77,FALSE,FALSE
5/22/1919,Argentina,Chile,Argentina,Edwin Clarcke,10,FALSE,FALSE
5/22/1919,Argentina,Chile,Argentina,Carlos Izaguirre,13,FALSE,FALSE
5/22/1919,Argentina,Chile,Argentina,Edwin Clarcke,23,FALSE,FALSE
5/22/1919,Argentina,Chile,Chile,Alfredo France,33,FALSE,FALSE
5/22/1919,Argentina,Chile,Argentina,Edwin Clarcke,62,FALSE,FALSE
5/26/1919,Brazil,Uruguay,Uruguay,Isabelino Gradin,13,FALSE,FALSE
5/26/1919,Brazil,Uruguay,Uruguay,Carlos Scarone,17,FALSE,FALSE
5/26/1919,Brazil,Uruguay,Brazil,Neco,29,FALSE,FALSE
5/26/1919,Brazil,Uruguay,Brazil,Neco,63,FALSE,FALSE
5/29/1919,Brazil,Uruguay,Brazil,Arthur Friedenreich,122,FALSE,FALSE
9/11/1920,Chile,Brazil,Brazil,Ismael Alvariza,53,FALSE,FALSE
9/12/1920,Uruguay,Argentina,Uruguay,Jose Piendibene,10,FALSE,FALSE
9/12/1920,Uruguay,Argentina,Argentina,Raul Echeverria,75,FALSE,FALSE
9/18/1920,Brazil,Uruguay,Uruguay,Angel Romano,23,FALSE,FALSE
9/18/1920,Brazil,Uruguay,Uruguay,Antonio Urdinaran,26,FALSE,TRUE
9/18/1920,Brazil,Uruguay,Uruguay,Jose Perez,29,FALSE,FALSE
9/18/1920,Brazil,Uruguay,Uruguay,Antonio Campolo,48,FALSE,FALSE
9/18/1920,Brazil,Uruguay,Uruguay,Angel Romano,60,FALSE,FALSE
9/18/1920,Brazil,Uruguay,Uruguay,Jose Perez,65,FALSE,FALSE
9/20/1920,Chile,Argentina,Argentina,Miguel Dellavalle,13,FALSE,FALSE
9/20/1920,Chile,Argentina,Chile,Hernando Bolados,30,FALSE,FALSE
9/25/1920,Argentina,Brazil,Argentina,Raul Echeverria,40,FALSE,FALSE
9/25/1920,Argentina,Brazil,Argentina,Julio Libonatti,73,FALSE,FALSE
10/3/1920,Chile,Uruguay,Uruguay,Angel Romano,37,FALSE,FALSE
10/3/1920,Chile,Uruguay,Chile,Aurelio Dominguez,60,FALSE,FALSE
10/3/1920,Chile,Uruguay,Uruguay,Jose Perez,65,FALSE,FALSE
10/2/1921,Argentina,Brazil,Argentina,Julio Libonatti,27,FALSE,FALSE
10/9/1921,Paraguay,Uruguay,Paraguay,Gerardo Rivas,9,FALSE,FALSE
10/9/1921,Paraguay,Uruguay,Paraguay,Ildefonso Lopez,66,FALSE,FALSE
10/9/1921,Paraguay,Uruguay,Uruguay,Jose Piendibene,83,FALSE,FALSE
10/12/1921,Brazil,Paraguay,Brazil,Ernesto Duarte Machado da Silva,21,FALSE,FALSE
10/12/1921,Brazil,Paraguay,Brazil,Ernesto Duarte Machado da Silva,44,FALSE,FALSE
10/12/1921,Brazil,Paraguay,Brazil,Anibal Medicis Candiota,46,FALSE,FALSE
10/16/1921,Argentina,Paraguay,Argentina,Julio Libonatti,1,FALSE,FALSE
10/16/1921,Argentina,Paraguay,Argentina,Blas Saruppo,71,FALSE,FALSE
10/16/1921,Argentina,Paraguay,Argentina,Raul Echeverria,76,FALSE,FALSE
10/23/1921,Brazil,Uruguay,Uruguay,Angel Romano,1,FALSE,FALSE
